date,close,open,volume,high,low,MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,MA5_10_cross,MA10_20_cross,MA20_50_cross,EMA_cross,RSI,RSI_slope,price_slope,RSI_divergence,MACD,MACD_signal,MACD_hist,BB_middle,BB_std,BB_upper,BB_lower,BB_width,BB_B,volatility_10,volatility_20,volatility_ratio,price_roc_5,price_roc_10,price_roc_20,tr,atr,plus_dm,minus_dm,plus_di,minus_di,dx,ADX,volume_ma10,volume_ma20,volume_ratio,OBV,momentum_5,momentum_10,CMF,%K,%D,CCI,price_vol_corr,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,TEMA,DEMA,MOM,PPO,HT_DCPERIOD,CDL_DOJI,CDL_HAMMER,CDL_ENGULFING,day_of_week,month,quarter,price_change,volume_change
2024-12-24,1115.79,1132.0,143904,1132.0,1115.79,1115.044,1169.765,1125.0545000000002,1022.7128,884.8216483516484,1138.2747582117274,1120.193219604545,1046.109005947667,-54.721,44.71049999999991,102.34170000000016,18.08153860718244,55.5884038041072,-21.47772985335376,-66.78999999999996,0.0,32.97017009967658,46.13782953360653,-13.167659433929948,1125.0545000000002,78.36842620630973,1281.7913524126195,968.3176475873807,0.2786297951123355,0.4704456869669108,62.14218718211423,78.36842620630973,0.7929492805998397,-5.647820866241604,-7.213897250819102,17.690676848755892,16.340000000000146,32.33357142857145,0.0,9.210000000000036,48.08801113378989,36.2383193053422,14.052184847515582,36.46998796827635,361978.2,365879.75,0.3975488026627016,21386019.0,-66.78999999999996,-86.75,0.2246403360643866,25.272048916973112,30.734141774447664,-2.2597084011118493,0.3332721058617542,1172.0,1104.035,986.0075,927.355,1113.72,1159.7684943188672,1169.822239201074,-86.75,6.607993409343779,20.75514662713828,0,0,0,1.0,12.0,4.0,,
2024-12-26,1064.0,1116.1,292070,1116.1,1064.0,1100.706,1154.312,1128.4689999999998,1027.182,886.7371428571429,1124.770256718686,1114.8414844041122,1046.8106135575622,-53.60599999999977,25.843000000000075,101.2869999999998,9.928772314573736,43.71046117158431,-22.047131048516583,-71.69000000000005,0.0,24.707126513437743,41.85168892957277,-17.14456241613503,1128.4689999999998,73.79026835709249,1276.0495367141848,980.8884632858149,0.2615588673045904,0.2815802766563884,67.63884547933209,73.79026835709249,0.9166363937303555,-6.312462027489896,-12.681673820094709,6.858422633095973,52.09999999999991,32.35071428571429,0.0,51.78999999999997,36.61213044522915,47.65405930523343,13.10362897941587,37.27155286465571,365636.9,356160.05,0.7987979331407741,21093949.0,-71.69000000000005,-154.52999999999997,0.1214753030252828,0.0,20.63682373177854,-44.512188486299216,0.446342233130827,1162.0,1104.035,986.0075,927.985,1180.83,1137.1483168622017,1154.9018845720088,-154.52999999999997,5.759956851140005,20.963398857420504,0,0,0,3.0,12.0,4.0,,
2024-12-27,1071.2,1070.0,171856,1071.2,1070.0,1098.11,1138.924,1131.0455,1031.7936,888.6409340659341,1115.030210042561,1110.6851525561017,1047.7670600847166,-40.81399999999985,7.878500000000031,99.25189999999998,4.345057486459609,45.05304375526323,-12.64962351506123,-12.980000000000018,0.0,18.526028244863937,37.18655679263101,-18.660528547767072,1131.0455,70.62309868703797,1272.291697374076,989.799302625924,0.2497621844109074,0.2881518189069043,67.2530131832132,70.62309868703797,0.9522806905024894,-1.1972181741039312,-12.560812355111494,5.053595771180874,7.2000000000000455,32.48285714285716,0.0,0.0,36.21470665834572,47.46019878602678,13.43950383683873,38.03662592706037,323370.5,353967.35,0.5314523124403739,21265805.0,-12.980000000000018,-153.87999999999988,0.1160331595515338,3.673469387753251,9.648506101575444,-55.19276457209013,0.4110531473134337,1162.0,1104.035,986.0075,929.37,1199.47,1120.252768746372,1143.169785797903,-153.87999999999988,4.607049617468088,21.344552587277818,100,0,0,4.0,12.0,4.0,,
2024-12-30,1098.95,1080.0,192193,1098.95,1080.0,1096.414,1123.078,1135.0155,1037.0178,890.7231868131868,1112.106535489368,1109.56751897933,1049.7742341990415,-26.663999999999987,-11.9375,97.9976999999999,2.539016510038209,41.77642688266877,-16.19771104817351,-8.480000000000018,0.0,15.68583982082646,32.8864133982701,-17.20057357744364,1135.0155,66.11333008953294,1267.242160179066,1002.788839820934,0.2329953382646391,0.3636224345710799,53.49427940339184,66.11333008953294,0.8091300094983439,-0.7657368863043246,-12.602094782131523,7.787749497327256,27.75,30.71714285714287,27.75,0.0,33.79220537613403,50.18835457150433,19.52374359682018,37.43352358207127,309323.3,360407.65,0.6213337307600169,21457998.0,-8.480000000000018,-158.46000000000004,0.13182919396719,17.83163265305215,7.168367346935124,-37.75942311141301,0.5238605773952691,1144.5,1104.035,986.0075,929.37,1195.75,1113.4987236922177,1137.9471853429284,-158.46000000000004,3.494046113794436,21.708405237294645,0,0,0,0.0,12.0,4.0,,
2024-12-31,1100.49,1115.0,363139,1115.0,1100.49,1090.086,1109.244,1138.0355000000002,1042.1382,892.8596703296703,1109.9944381276646,1108.7029933622507,1051.7630877598635,-19.15800000000013,-28.79150000000004,95.89730000000009,1.2914447654138712,36.59600178618954,-22.02492909693222,-31.6400000000001,0.0,13.404713963579525,28.990073511331985,-15.58535954775246,1138.0355000000002,62.847864551514,1263.7312291030282,1012.339770896972,0.2208994870599677,0.3506492612439496,34.884950655282886,62.847864551514,0.5550697848553552,-2.794732053739424,-11.166988206614302,5.807189762424425,16.049999999999955,29.33428571428573,16.049999999999955,0.0,30.67108210761921,52.55430018487972,26.29392316916584,36.71372348630781,289679.1,369755.25,1.2535906111279684,21821137.0,-31.6400000000001,-138.33999999999992,0.0555663509829614,18.617346938766016,13.37414965985713,-29.32029662348376,0.1411807430322351,1127.5,1104.035,986.0075,934.465,1194.54,1108.3244987809474,1133.5976445138638,-138.33999999999992,2.2915249432122424,21.796829782550407,0,0,0,1.0,12.0,4.0,,
2025-01-01,1187.66,1114.85,481170,1187.66,1114.85,1104.46,1109.752,1144.509,1048.5608,895.4446703296703,1124.11544937718,1116.2227082801317,1057.0923784359472,-5.291999999999916,-34.75700000000006,95.94820000000004,7.892741097048429,46.58404337708264,-9.004360427024558,71.87000000000012,1.0,18.418479016009314,26.875754612267453,-8.457275596258139,1144.509,60.826063743493904,1266.161127486988,1022.856872513012,0.2125839595616587,0.6773540705424483,36.08779042525433,60.826063743493904,0.5932948509931326,6.441176206992361,0.4295692469008516,12.235042856197854,87.17000000000007,34.418571428571454,72.66000000000008,0.0,37.90105009742857,44.79101813791821,8.332078502223483,33.897457013625846,294446.4,373533.15,1.6341514109189306,22302307.0,71.87000000000012,5.080000000000155,0.0651183168063624,63.09183673466173,33.18027210882662,17.268521741798313,0.2315168492442881,1125.83,1104.035,988.1625,934.465,1209.33,1126.6942893592436,1145.5499918668168,5.080000000000155,1.102999296549152,21.568545117944986,0,0,0,2.0,1.0,1.0,,
2025-01-02,1192.45,1200.0,362258,1200.0,1192.45,1130.15,1115.428,1150.7805,1055.1378000000002,897.8556043956044,1136.5399131267836,1123.4824503486905,1062.400520458067,14.72199999999998,-35.352499999999964,95.64269999999988,13.057462778093168,46.3751694104181,2.6647082388337964,128.45000000000005,0.0,22.51885358396976,26.00437440660792,-3.4855208226381578,1150.7805,58.85018923862817,1268.4808784772565,1033.0801215227436,0.2045574781241882,0.6770151487150239,44.17763028702494,58.85018923862817,0.7506794941273103,12.072368421052635,4.997842721165102,11.755168600401134,12.339999999999918,34.55214285714288,12.339999999999918,0.0,38.14111177712069,44.61786533797266,7.82604351409139,30.91991883582265,301065.4,377416.0,1.2032535123597723,22664565.0,128.45000000000005,56.75999999999999,-0.0212473769003445,65.53571428568088,49.0816326530362,39.56248147848153,0.282658219965135,1132.0,1110.0,977.9125,948.015,1209.09,1142.940790589906,1156.5849973701015,56.75999999999999,-0.0866482017973222,21.199144267326403,0,0,0,3.0,1.0,1.0,,
2025-01-03,1147.69,1219.0,487084,1219.0,1147.69,1145.448,1121.779,1152.221,1060.2908,900.0622527472528,1138.5672016491865,1125.7879312678629,1065.7452059302996,23.669000000000096,-30.442000000000007,91.9302,12.779270381323611,38.13889129107197,-6.914152464191261,76.49000000000001,1.0,21.90417435848053,25.18433439698244,-3.280160038501908,1152.221,58.378961233805306,1268.9789224676106,1035.4630775323894,0.2026658470338597,0.4805966057622131,43.7493038547706,58.378961233805306,0.7494018894834652,7.140589992531732,5.857883377298978,2.574896324896314,71.30999999999995,37.33071428571429,0.0,44.75999999999999,29.866253372286657,49.861278533437,25.079197465649653,27.886381845994187,295524.3,377365.3,1.6482028719804085,22177481.0,76.49000000000001,63.50999999999999,-0.1504595149584215,42.698979591814975,57.10884353738586,16.122233963016566,0.5887644887476547,1141.5,1129.0,982.0625,948.015,1218.58,1144.5138869776194,1157.823766071248,63.50999999999999,-0.8611126055661663,20.81595137662269,0,0,0,4.0,1.0,1.0,,
2025-01-06,1148.2,1158.9,183759,1158.9,1148.2,1155.2980000000002,1125.8560000000002,1153.898,1065.0672,902.2246703296704,1140.3186195311523,1127.922414004257,1068.9787272663664,29.442000000000007,-28.04199999999992,88.83080000000018,12.396205526895528,39.804252446719055,-1.972174435949718,49.25,1.0,21.213651610778243,24.3901978397416,-3.176546228963357,1153.898,57.72122309680194,1269.340446193604,1038.4555538063962,0.2000912493020941,0.475321035771835,44.161283244229146,57.72122309680194,0.7650787851479087,4.481550570999593,3.681496798894736,3.0089892882134484,11.210000000000036,36.61928571428572,0.0,0.0,29.941287767878126,50.82996859564403,25.861527687185724,22.590776680802485,285729.5,373212.3,0.6431222537399881,22361240.0,49.25,40.76999999999998,-0.1410060708082309,52.298136645930285,53.51094350780871,-4.012739920754634,0.5084744254201203,1141.5,1139.5,982.0725,948.015,1208.08,1145.7829615900248,1158.8384155878668,40.76999999999998,-1.2012164216927983,20.43166216378873,0,0,0,0.0,1.0,1.0,,
2025-01-07,1150.95,1151.0,274356,1151.0,1150.95,1165.39,1127.738,1153.0890000000002,1069.765,904.419010989011,1142.2515977982157,1130.115517432423,1072.193286981411,37.651999999999816,-25.35100000000012,83.32400000000007,12.136080365792624,45.95472566807948,9.358723881889937,50.46000000000004,0.0,20.6502659638802,23.64221146456932,-2.99194550068912,1153.0890000000002,57.639335791867175,1268.3676715837346,1037.8103284162655,0.1999475696736755,0.4907224815715564,44.853956793121945,57.639335791867175,0.77818309626276,4.58523021563122,1.6623532633178062,-1.3863065811006492,2.7999999999999545,32.80142857142857,0.0,0.0,33.42624450144419,44.49719088876289,14.207467024350183,18.968730716686306,295178.9,372515.5,0.929456678644713,22635596.0,50.46000000000004,18.819999999999936,-0.2167899053135681,56.09677419351223,50.36463014375249,-5.18748766936123,0.5252464401928688,1141.5,1142.5,983.8975,948.015,1242.15,1147.3905946023783,1160.0713743478393,18.819999999999936,-1.1511055232565777,20.079785798121684,100,0,0,1.0,1.0,1.0,,
2025-01-08,1134.54,1150.01,178703,1150.01,1134.54,1154.766,1129.6129999999998,1149.689,1074.0812,906.5064835164836,1140.849489107631,1130.5368967245731,1074.6382561193948,25.153000000000247,-20.076000000000025,75.60779999999977,10.31259238305779,49.84048603193114,3.256442654848506,-53.12000000000012,1.0,18.6644764574628,22.646664463148017,-3.98218800568522,1149.689,56.56437021567577,1262.8177404313517,1036.5602595686482,0.1967988567888216,0.4330453077516767,44.69060702950801,56.56437021567577,0.7900840557231877,-4.472660525739702,1.6804237356491836,-5.654697556838029,16.410000000000082,30.02285714285716,0.0,16.410000000000082,36.519794442208,41.36372287766963,6.219452590412395,16.55845387417782,298658.8,330318.5,0.598351697656322,22456893.0,-53.12000000000012,18.75,-0.4263306474572313,45.509677419325456,51.30152941958932,-15.73916311836359,0.4910238922917448,1144.5,1150.565,982.6825,948.015,1366.37,1144.3116846838946,1158.0210628171335,18.75,-1.2675990785787026,19.806908720817688,0,0,0,2.0,1.0,1.0,,
2025-01-09,1102.26,1137.0,174588,1137.0,1102.26,1136.728,1133.439,1143.8755,1078.1118,908.4143406593408,1133.8332183607888,1127.8438589412804,1075.7214617617717,3.288999999999988,-10.436500000000024,65.76369999999997,5.989359419508446,52.6491618799856,6.273992469567496,-90.19000000000004,1.0,14.320915146651714,20.98151459984876,-6.660599453197044,1143.8755,55.0719733358678,1254.0194466717355,1033.7315533282645,0.1925803055869734,0.3110858505730742,39.82181324348794,55.0719733358678,0.7230867323484866,-7.563419849888886,3.595864661654136,-9.541824985843594,34.74000000000001,28.825000000000014,0.0,32.27999999999997,38.03741791586357,38.31743278390871,0.366728328951616,15.033504379073188,286910.6,326273.75,0.6085101073296,22282305.0,-90.19000000000004,38.25999999999999,-0.4975222492521283,24.68387096772601,42.09677419352122,-45.69867269053879,0.5987126166269453,1149.5,1159.095,986.9375,948.015,1404.3,1133.2974493470615,1150.2739274115702,38.25999999999999,-1.6311975489930666,19.643334327486325,0,0,0,3.0,1.0,1.0,,
2025-01-10,1094.74,1100.0,215238,1100.0,1094.74,1126.138,1135.793,1137.3584999999998,1082.3426000000002,910.2582417582418,1126.725360477009,1124.691110470682,1076.4672867907218,-9.6550000000002,-1.5654999999997017,55.01589999999965,2.034250006326829,48.0507511287909,9.911859837718929,-52.950000000000045,1.0,10.154752693490536,18.81616221857712,-8.66140952508658,1137.3584999999998,52.61389823142275,1242.5862964628454,1032.1307035371542,0.1850389238974982,0.2974940964620621,36.27135020308426,52.61389823142275,0.6893872421974024,-4.6136151748294445,2.197535474234491,-10.639305188232594,7.519999999999982,27.68857142857144,0.0,7.519999999999982,39.59859663591104,41.783613662009856,2.6848828731700705,13.984802614020722,291248.8,307309.65,0.7390176371542129,22067067.0,-52.950000000000045,23.539999999999964,-0.4665143121033795,19.832258064503343,30.00860215051826,-68.1037066473665,0.5657994742845323,1156.87,1162.0,991.3275,952.38,1459.65,1122.259253628009,1142.132495232308,23.539999999999964,-1.8757977699529,19.58978578961443,0,0,0,4.0,1.0,1.0,,
